OrderID,Date,Customer,Product,Category,Quantity,Price,Region
1001,2024-01-05,John Doe,Laptop,Electronics,1,800,North
1002,2024-01-06,Jane Smith,Mouse,Electronics,2,25,South
1003,2024-01-07,Alice Brown,Keyboard,Electronics,1,45,East
1004,2024-01-08,Bob White,Desk,Furniture,1,150,West
1005,2024-01-09,Chris Green,Chair,Furniture,2,85,North
1006,2024-01-10,Emma Stone,Monitor,Electronics,1,200,South
1007,2024-01-11,Liam Scott,Table,Furniture,1,120,East
1008,2024-01-12,Olivia King,Headphones,Electronics,3,60,West
1009,2024-01-13,Noah Lee,Laptop,Electronics,1,900,North
1010,2024-01-14,Sophia Hall,Chair,Furniture,1,95,South
